Date,Average USD (7-day)
2020-11-27,32.21
2020-11-28,29.1
2020-11-29,28.7
2020-11-30,28.94
2020-12-01,28.86
2020-12-02,28.38
2020-12-03,27.99
2020-12-04,24.32
2020-12-05,23.81
2020-12-06,22.9
2020-12-07,22.03
2020-12-08,21.68
2020-12-09,21.52
2020-12-10,20.89
2020-12-11,19.78
2020-12-12,23.4
2020-12-13,25.64
2020-12-14,25.9
2020-12-15,26.25
2020-12-16,26.62
2020-12-17,28.19
2020-12-18,30.19
2020-12-19,35.36
2020-12-20,32.67
2020-12-21,43.02
2020-12-22,41.59
2020-12-23,39.85
2020-12-24,37.23
2020-12-25,34.88
2020-12-26,32.15
2020-12-27,30.27
2020-12-28,24.47
2020-12-29,24.73
2020-12-30,26.04
2020-12-31,28.32
2021-01-01,59.38
2021-01-02,67.27
2021-01-03,97.19
2021-01-04,103.16
2021-01-05,108.98
2021-01-06,109.03
2021-01-07,111.62
2021-01-08,257.23
2021-01-09,308.2
2021-01-10,299.84
2021-01-11,290.63
2021-01-12,267.95
2021-01-13,222.85
2021-01-14,193.49
2021-01-15,102.68
2021-01-16,86.26
2021-01-17,82.95
2021-01-18,92.63
2021-01-19,96.3
2021-01-20,94.59
2021-01-21,102.02
2021-01-22,118.67
2021-01-23,175.89
2021-01-24,156.11
2021-01-25,134.67
2021-01-26,138.78
2021-01-27,170.52
2021-01-28,204.38
2021-01-29,211.13
2021-01-30,226.18
2021-01-31,189.6
2021-02-01,218.51
2021-02-02,287.96
2021-02-03,285.01
2021-02-04,289.99
2021-02-05,290.77
2021-02-06,319.09
2021-02-07,584.3
2021-02-08,484.5
2021-02-09,441.69
2021-02-10,460.76
2021-02-11,446.77
2021-02-12,443.57
2021-02-13,378.93
2021-02-14,458.96
2021-02-15,488.18
2021-02-16,485.41
2021-02-17,458.79
2021-02-18,470.43
2021-02-19,453.3
2021-02-20,536.82
2021-02-21,483.33
2021-02-22,622.28
2021-02-23,650.89
2021-02-24,781.26
2021-02-25,812.5
2021-02-26,944.12
2021-02-27,991.04
2021-02-28,1235.92
2021-03-01,1164.34
2021-03-02,1034.27
2021-03-03,997.72
2021-03-04,1051.03
2021-03-05,935.34
2021-03-06,948.63
2021-03-07,921.28
2021-03-08,896.8
2021-03-09,1333.56
2021-03-10,1321.17
2021-03-11,1227.72
2021-03-12,2240.55
2021-03-13,2209.2
2021-03-14,2503.77
2021-03-15,2554.44
2021-03-16,2498.59
2021-03-17,663.98
2021-03-18,758.72
2021-03-19,733.7
2021-03-20,572.59
2021-03-21,537.06
2021-03-22,538.53
2021-03-23,525.64
2021-03-24,687.53
2021-03-25,574.17
2021-03-26,540.56
2021-03-27,708.39
2021-03-28,513.18
2021-03-29,463.03
2021-03-30,456.53
2021-03-31,435.82
2021-04-01,420.91
2021-04-02,451.6
2021-04-03,495.7
2021-04-04,613.22
2021-04-05,594.19
2021-04-06,682.83
2021-04-07,648.75
2021-04-08,669.06
2021-04-09,725.1
2021-04-10,690.57
2021-04-11,740.4
2021-04-12,831.1
2021-04-13,806.67
2021-04-14,824.63
2021-04-15,864.18
2021-04-16,736.12
2021-04-17,763.92
2021-04-18,722
2021-04-19,688.16
2021-04-20,647
2021-04-21,729.86
2021-04-22,686.49
2021-04-23,819.39
2021-04-24,749.64
2021-04-25,758.94
2021-04-26,724.96
2021-04-27,792.32
2021-04-28,785.61
2021-04-29,735.36
2021-04-30,652.59
2021-05-01,643.05
2021-05-02,632.3
2021-05-03,684.61
2021-05-04,594.64
2021-05-05,567.47
2021-05-06,603.25
2021-05-07,704.9
2021-05-08,759.26
2021-05-09,750.55
2021-05-10,767.36
2021-05-11,860.12
2021-05-12,1137.8
2021-05-13,1119.67
2021-05-14,803.19
2021-05-15,838
2021-05-16,874.2
2021-05-17,853.28
2021-05-18,856.6
2021-05-19,773.42
2021-05-20,767.86
2021-05-21,929.7
2021-05-22,769.52
2021-05-23,727.92
2021-05-24,635.44
2021-05-25,611.96
2021-05-26,574.63
2021-05-27,549.22
2021-05-28,427.52
2021-05-29,365.18
2021-05-30,349.24
2021-05-31,328.89
2021-06-01,307.16
2021-06-02,309.96
2021-06-03,336.95
2021-06-04,358.28
2021-06-05,440.85
2021-06-06,440.95
2021-06-07,582.07
2021-06-08,890.16
2021-06-09,1113.83
2021-06-10,1145.43
2021-06-11,734.8
2021-06-12,791.63
2021-06-13,745.48
2021-06-14,774.85
2021-06-15,922.78
2021-06-16,895.94
2021-06-17,956.86
2021-06-18,917.3
2021-06-19,904.29
2021-06-20,961.85
2021-06-21,1005.4
2021-06-22,983.84
2021-06-23,993.81
2021-06-24,733.14
2021-06-25,767.39
2021-06-26,713.48
2021-06-27,711.18
2021-06-28,652.61
2021-06-29,644.56
2021-06-30,657.75
2021-07-01,769.47
2021-07-02,764.74
2021-07-03,814.01
2021-07-04,828.96
2021-07-05,778.72
2021-07-06,788.05
2021-07-07,685.35
2021-07-08,677.57
2021-07-09,691.37
2021-07-10,619
2021-07-11,569.28
2021-07-12,727.32
2021-07-13,780.64
2021-07-14,948.35
2021-07-15,1160.8
2021-07-16,1451.9
2021-07-17,1373.28
2021-07-18,1482.06
2021-07-19,1407.37
2021-07-20,1406.46
2021-07-21,1352.67
2021-07-22,1281.98
2021-07-23,1110.91
2021-07-24,1345.82
2021-07-25,1671.63
2021-07-26,2220.03
2021-07-27,2075.41
2021-07-28,2282.73
2021-07-29,2454.9
2021-07-30,2615.7
2021-07-31,2512.61
2021-08-01,2703.36
2021-08-02,2124.25
2021-08-03,2164.75
2021-08-04,2240.81
2021-08-05,2246.03
2021-08-06,2452.57
2021-08-07,2617.16
2021-08-08,2550.14
2021-08-09,4030.95
2021-08-10,5303.21
2021-08-11,5237.16
2021-08-12,5696.35
2021-08-13,5761.59
2021-08-14,6847.01
2021-08-15,7080.27
2021-08-16,7735.47
2021-08-17,6598.92
2021-08-18,7673.53
2021-08-19,7281.44
2021-08-20,8280.68
2021-08-21,8867.35
2021-08-22,8763.07
2021-08-23,9133.83
2021-08-24,9878.52
2021-08-25,10100.55
2021-08-26,10679.75
2021-08-27,11812.77
2021-08-28,12250.85
2021-08-29,13140.62
2021-08-30,13957.64
2021-08-31,14874.93
2021-09-01,15011.11
2021-09-02,14953.09
2021-09-03,13361.42
2021-09-04,13008.33
2021-09-05,12684.2
2021-09-06,13696.89
2021-09-07,10742.05
2021-09-08,11796.34
2021-09-09,8845.26
2021-09-10,6064.49
2021-09-11,4968.54
2021-09-12,4410.52
2021-09-13,6480.49
2021-09-14,6246.26
2021-09-15,6706.28
2021-09-16,8859.53
2021-09-17,8945.42
2021-09-18,9458.8
2021-09-19,9533.13
2021-09-20,9113.28
2021-09-21,11976.86
2021-09-22,8959.49
2021-09-23,6608.67
2021-09-24,5359.99
2021-09-25,4795.46
2021-09-26,5486.12
2021-09-27,7378.76
2021-09-28,8973.48
2021-09-29,10645.41
2021-09-30,11354.22
2021-10-01,11486.71
2021-10-02,11971.58
2021-10-03,11699.04
2021-10-04,11392.5
2021-10-05,9553.9
2021-10-06,7116.01
2021-10-07,7039.59
2021-10-08,8370.13
2021-10-09,7031.54
2021-10-10,6726.53
2021-10-11,6582.94
2021-10-12,6935.28
2021-10-13,7479.22
2021-10-14,7042.26
2021-10-15,6725.46
2021-10-16,5683.82
2021-10-17,5005.97
2021-10-18,4886.82
2021-10-19,4555.04
2021-10-20,5530.86
2021-10-21,3535.45
2021-10-22,3357.12
2021-10-23,3747.57
2021-10-24,3918.29
2021-10-25,4141.59
2021-10-26,4305.3
2021-10-27,4400.43
2021-10-28,8353.01
2021-10-29,6178.36
