Date,Average USD (7-day)
2019-05-04,6.7
2019-05-05,6.48
2019-05-06,6.32
2019-05-07,6.49
2019-05-08,6.53
2019-05-09,6.53
2019-05-10,6.43
2019-05-11,6.21
2019-05-12,6.49
2019-05-13,6.43
2019-05-14,6.16
2019-05-15,6.46
2019-05-16,6.57
2019-05-17,6.8
2019-05-18,7.11
2019-05-19,6.87
2019-05-20,7.28
2019-05-21,7.42
2019-05-22,6.99
2019-05-23,6.83
2019-05-24,6.58
2019-05-25,6.56
2019-05-26,6.54
2019-05-27,6.27
2019-05-28,6.45
2019-05-29,6.61
2019-05-30,6.32
2019-05-31,6.47
2019-06-01,6.17
2019-06-02,6.14
2019-06-03,7.03
2019-06-04,7.23
2019-06-05,7.55
2019-06-06,7.73
2019-06-07,7.72
2019-06-08,7.69
2019-06-09,7.6
2019-06-10,7.26
2019-06-11,7.14
2019-06-12,6.59
2019-06-13,6.83
2019-06-14,6.73
2019-06-15,6.97
2019-06-16,6.78
2019-06-17,6.64
2019-06-18,6.48
2019-06-19,6.2
2019-06-20,5.94
2019-06-21,5.97
2019-06-22,5.84
2019-06-23,5.87
2019-06-24,5.88
2019-06-25,5.87
2019-06-26,6.05
2019-06-27,6.22
2019-06-28,6.14
2019-06-29,6.09
2019-06-30,6.52
2019-07-01,6.39
2019-07-02,6.41
2019-07-03,6.35
2019-07-04,6.11
2019-07-05,6.11
2019-07-06,5.89
2019-07-07,6.03
2019-07-08,6.04
2019-07-09,6.18
2019-07-10,6.2
2019-07-11,6.56
2019-07-12,6.51
2019-07-13,7.07
2019-07-14,6.7
2019-07-15,6.87
2019-07-16,6.61
2019-07-17,6.42
2019-07-18,5.72
2019-07-19,5.86
2019-07-20,5.75
2019-07-21,5.44
2019-07-22,5.41
2019-07-23,5.4
2019-07-24,5.6
2019-07-25,5.66
2019-07-26,5.56
2019-07-27,5.57
2019-07-28,5.75
2019-07-29,5.94
2019-07-30,6
2019-07-31,5.85
2019-08-01,5.84
2019-08-02,5.98
2019-08-03,6.65
2019-08-04,7.87
2019-08-05,7.27
2019-08-06,7.69
2019-08-07,7.54
2019-08-08,7.98
2019-08-09,7.79
2019-08-10,6.94
2019-08-11,6.4
2019-08-12,6.8
2019-08-13,6.38
2019-08-14,6.7
2019-08-15,6.67
2019-08-16,6.72
2019-08-17,6.98
2019-08-18,7.04
2019-08-19,6.8
2019-08-20,7.08
2019-08-21,6.97
2019-08-22,6.84
2019-08-23,6.31
2019-08-24,6.25
2019-08-25,6.51
2019-08-26,47.33
2019-08-27,43.13
2019-08-28,37.01
2019-08-29,34.99
2019-08-30,38.07
2019-08-31,31.99
2019-09-01,31.58
2019-09-02,6.05
2019-09-03,6.02
2019-09-04,6.32
2019-09-05,6.4
2019-09-06,6.3
2019-09-07,6.93
2019-09-08,6.45
2019-09-09,6.42
2019-09-10,6.38
2019-09-11,6.25
2019-09-12,5.99
2019-09-13,5.91
2019-09-14,5.63
2019-09-15,6.31
2019-09-16,6.45
2019-09-17,6.75
2019-09-18,6.88
2019-09-19,6.94
2019-09-20,7.1
2019-09-21,7.52
2019-09-22,6.99
2019-09-23,7.06
2019-09-24,6.89
2019-09-25,6.61
2019-09-26,6.27
2019-09-27,6.24
2019-09-28,10.99
2019-09-29,52.7
2019-09-30,47.15
2019-10-01,38.14
2019-10-02,35.15
2019-10-03,33.25
2019-10-04,32.16
2019-10-05,31.01
2019-10-06,9.94
2019-10-07,9.16
2019-10-08,7.64
2019-10-09,44.07
2019-10-10,45.29
2019-10-11,45.94
2019-10-12,45.22
2019-10-13,46.16
2019-10-14,48.42
2019-10-15,68.81
2019-10-16,91.58
2019-10-17,94.44
2019-10-18,88.63
2019-10-19,86.06
2019-10-20,84.1
2019-10-21,81
2019-10-22,81.27
2019-10-23,77.77
2019-10-24,79.65
2019-10-25,93.21
2019-10-26,113.86
2019-10-27,132.78
2019-10-28,168.33
