Date,Average USD (7-day)
2018-03-19,420.2
2018-03-20,901.77
2018-03-21,1421.52
2018-03-22,1461.31
2018-03-23,1916.04
2018-03-24,1825.51
2018-03-25,1808.62
2018-03-26,1897.29
2018-03-27,2222.36
2018-03-28,1989.31
2018-03-29,1955.57
2018-03-30,1617.23
2018-03-31,1593.88
2018-04-01,1481.21
2018-04-02,1436.77
2018-04-03,1430.44
2018-04-04,1314.2
2018-04-05,1294.14
2018-04-06,982.08
2018-04-07,993.42
2018-04-08,947.24
2018-04-09,923.11
2018-04-10,903.19
2018-04-11,926.43
2018-04-12,907.94
2018-04-13,928.37
2018-04-14,1045.41
2018-04-15,1289.27
2018-04-16,1367.28
2018-04-17,1422.93
2018-04-18,1547.92
2018-04-19,1577.56
2018-04-20,1541.11
2018-04-21,1508.26
2018-04-22,1463.85
2018-04-23,1535.8
2018-04-24,1637.18
2018-04-25,1615.18
2018-04-26,1647.45
2018-04-27,1695.56
2018-04-28,1676.91
2018-04-29,1771.85
2018-04-30,1764.31
2018-05-01,1619.96
2018-05-02,1581.23
2018-05-03,1638.29
2018-05-04,1662.41
2018-05-05,1691
2018-05-06,1683.95
2018-05-07,1648.44
2018-05-08,1790.12
2018-05-09,1824.37
2018-05-10,1715.09
2018-05-11,1642.8
2018-05-12,1589.04
2018-05-13,1659.52
2018-05-14,1681.31
2018-05-15,1568
2018-05-16,1496.17
2018-05-17,1425.85
2018-05-18,1445.72
2018-05-19,1348.12
2018-05-20,1300.81
2018-05-21,1276.63
2018-05-22,1261.3
2018-05-23,1266.58
2018-05-24,1243.58
2018-05-25,1270.03
2018-05-26,1226.02
2018-05-27,1007.83
2018-05-28,960.4
2018-05-29,940.4
2018-05-30,1090.14
2018-05-31,1143.49
2018-06-01,1102.92
2018-06-02,1231.68
2018-06-03,1282.45
2018-06-04,1574.57
2018-06-05,1532.76
2018-06-06,1465.96
2018-06-07,1474.54
2018-06-08,1531.96
2018-06-09,1490.86
2018-06-10,1581.2
2018-06-11,1457.38
2018-06-12,1445.4
2018-06-13,1266.9
2018-06-14,1245.69
2018-06-15,1106.26
2018-06-16,1067.42
2018-06-17,969.18
2018-06-18,941.76
2018-06-19,1075.16
2018-06-20,1133.36
2018-06-21,1190.76
2018-06-22,1250.77
2018-06-23,1260.56
2018-06-24,1313.92
2018-06-25,1464.98
2018-06-26,1294.07
2018-06-27,1250.55
2018-06-28,1216.71
2018-06-29,1256.41
2018-06-30,1303
2018-07-01,1288.35
2018-07-02,1355.99
2018-07-03,1415.51
2018-07-04,2210
2018-07-05,2164.01
2018-07-06,2404.82
2018-07-07,2321.86
2018-07-08,2333.21
2018-07-09,2393.99
2018-07-10,2716.05
2018-07-11,1590.84
2018-07-12,1869.01
2018-07-13,1812.21
2018-07-14,1894.66
2018-07-15,1737.23
2018-07-16,2035.66
2018-07-17,1738.6
2018-07-18,1529.49
2018-07-19,1405.39
2018-07-20,1324.33
2018-07-21,1332.71
2018-07-22,1421.65
2018-07-23,1305.07
2018-07-24,1485.52
2018-07-25,1526.93
2018-07-26,1417.56
2018-07-27,1414.69
2018-07-28,1457.91
2018-07-29,1416.25
2018-07-30,1377.55
2018-07-31,1220.44
2018-08-01,1158.13
2018-08-02,1236.74
2018-08-03,1207.48
2018-08-04,1100.1
2018-08-05,1078.66
2018-08-06,927.79
2018-08-07,958.04
2018-08-08,983.33
2018-08-09,962.68
2018-08-10,948.64
2018-08-11,937.79
2018-08-12,955.53
2018-08-13,887.87
2018-08-14,872.28
2018-08-15,792.23
2018-08-16,749.77
2018-08-17,718.37
2018-08-18,791.65
2018-08-19,797.05
2018-08-20,804.6
2018-08-21,769.9
2018-08-22,781.44
2018-08-23,713.17
2018-08-24,708.36
2018-08-25,631.67
2018-08-26,617.79
2018-08-27,649.89
2018-08-28,585.65
2018-08-29,615.9
2018-08-30,644.86
2018-08-31,666.84
2018-09-01,701.22
2018-09-02,709.23
2018-09-03,763.29
2018-09-04,819.82
2018-09-05,804.56
2018-09-06,798.57
2018-09-07,789.99
2018-09-08,774.43
2018-09-09,775.59
2018-09-10,1290.66
2018-09-11,1323.25
2018-09-12,1084.58
2018-09-13,1058.98
2018-09-14,1161.34
2018-09-15,1196.6
2018-09-16,1317.68
2018-09-17,1190.12
2018-09-18,1251.54
2018-09-19,1484.61
2018-09-20,1738.83
2018-09-21,1714.79
2018-09-22,1765.79
2018-09-23,1596.63
2018-09-24,1621.5
2018-09-25,1552.88
2018-09-26,1471.86
2018-09-27,1478.22
2018-09-28,1524.01
2018-09-29,1603.17
2018-09-30,1817.12
2018-10-01,1921.29
2018-10-02,1941.12
2018-10-03,2290.74
2018-10-04,2450.66
2018-10-05,2267.5
2018-10-06,2221.33
2018-10-07,2212.7
2018-10-08,2033.56
2018-10-09,2029.7
2018-10-10,1841.74
2018-10-11,1717.2
2018-10-12,2051.99
2018-10-13,2160.47
2018-10-14,2144.64
2018-10-15,2340.31
2018-10-16,2380.61
2018-10-17,2429.33
2018-10-18,2834
2018-10-19,2733.7
2018-10-20,2892.53
2018-10-21,3101.14
2018-10-22,3987.57
2018-10-23,3685.67
2018-10-24,3741.04
2018-10-25,3191.73
2018-10-26,3162.01
2018-10-27,2750.29
2018-10-28,2835.91
2018-10-29,2091.92
2018-10-30,2530.28
2018-10-31,2430.74
2018-11-01,2357.65
2018-11-02,2179.67
2018-11-03,2276.87
2018-11-04,2097.78
2018-11-05,3292.5
2018-11-06,2735.91
2018-11-07,2849.92
2018-11-08,3009.36
2018-11-09,2924.12
2018-11-10,3000.74
2018-11-11,3623.68
2018-11-12,2884.38
2018-11-13,2953.87
2018-11-14,2924.61
2018-11-15,2895.42
2018-11-16,3093.72
2018-11-17,3011.28
2018-11-18,2381.38
2018-11-19,2297.39
2018-11-20,2309.61
2018-11-21,2156.01
2018-11-22,1897.77
2018-11-23,2030.83
2018-11-24,2140.33
2018-11-25,2090.4
2018-11-26,1824.69
2018-11-27,1637.71
2018-11-28,1549.42
2018-11-29,2108.79
2018-11-30,1816.23
2018-12-01,1585.87
2018-12-02,1590.17
2018-12-03,1557.01
2018-12-04,1562.4
2018-12-05,1660.52
2018-12-06,1213.45
2018-12-07,1261.7
2018-12-08,1654.49
2018-12-09,1591.61
2018-12-10,1696.49
2018-12-11,2588.37
2018-12-12,2824.83
2018-12-13,2766.71
2018-12-14,2796.41
2018-12-15,2303.66
2018-12-16,2291.93
2018-12-17,2127.62
2018-12-18,1529.27
2018-12-19,1105.81
2018-12-20,865.01
2018-12-21,761.08
2018-12-22,748.65
2018-12-23,646.36
2018-12-24,647.5
2018-12-25,648.16
2018-12-26,634.7
2018-12-27,613.09
2018-12-28,513.03
2018-12-29,477.2
2018-12-30,1729.74
2018-12-31,1774.72
2019-01-01,1833.14
2019-01-02,1880.91
2019-01-03,1937.84
2019-01-04,1708.06
2019-01-05,1698.72
2019-01-06,1436.7
2019-01-07,1230.04
2019-01-08,1251.34
2019-01-09,1259.31
2019-01-10,1221.87
2019-01-11,1326.39
2019-01-12,1401.49
2019-01-13,1611.93
2019-01-14,1794.72
2019-01-15,1708.33
2019-01-16,1903.18
2019-01-17,1957.98
2019-01-18,1879.14
2019-01-19,1808.86
2019-01-20,1729.12
2019-01-21,1488.71
2019-01-22,1617.54
2019-01-23,1263.63
2019-01-24,1253.1
2019-01-25,1231.91
2019-01-26,1399.61
2019-01-27,1418.87
2019-01-28,1629.83
2019-01-29,1641.34
2019-01-30,1630.35
2019-01-31,1596.99
2019-02-01,1400.36
2019-02-02,1365.22
2019-02-03,1079.06
2019-02-04,924.22
2019-02-05,993.72
2019-02-06,1127.46
2019-02-07,1146.62
2019-02-08,1138.47
2019-02-09,1140.03
2019-02-10,1381.24
2019-02-11,1467.19
2019-02-12,1571.22
2019-02-13,1470.91
2019-02-14,1378.33
2019-02-15,1471.76
2019-02-16,1472
2019-02-17,1204.97
2019-02-18,1028.39
2019-02-19,1228.64
2019-02-20,1271.48
2019-02-21,1333.18
2019-02-22,1303.13
2019-02-23,1314.22
2019-02-24,1264.2
2019-02-25,1467
2019-02-26,1127.14
2019-02-27,1129.65
2019-02-28,1222.66
2019-03-01,1118.83
2019-03-02,1210.42
2019-03-03,1251.98
2019-03-04,1316.05
2019-03-05,1384.07
2019-03-06,1330.24
2019-03-07,1259.35
2019-03-08,1357.84
2019-03-09,1247.05
2019-03-10,1266.33
2019-03-11,1201.41
2019-03-12,1534.08
2019-03-13,1574.26
2019-03-14,1704.22
2019-03-15,1732.86
2019-03-16,1755.15
2019-03-17,1920.71
2019-03-18,1882.94
2019-03-19,1626.24
2019-03-20,1750.96
2019-03-21,1454.79
2019-03-22,1357.9
2019-03-23,1314.69
2019-03-24,1237.36
2019-03-25,1382.24
2019-03-26,1442.5
2019-03-27,1391.66
2019-03-28,1800.55
2019-03-29,1846.45
2019-03-30,2032.66
2019-03-31,2201.64
2019-04-01,2595.56
2019-04-02,2677.25
2019-04-03,2629.44
2019-04-04,2425.67
2019-04-05,2501.76
2019-04-06,2373.95
2019-04-07,2394.06
2019-04-08,2048.26
2019-04-09,1747.75
2019-04-10,1704.69
2019-04-11,1465.51
2019-04-12,1208.46
2019-04-13,1266.01
2019-04-14,1170.82
2019-04-15,1079.79
2019-04-16,1083.54
2019-04-17,1068.42
2019-04-18,1136.51
2019-04-19,1306.14
2019-04-20,1197.68
2019-04-21,1285.78
2019-04-22,1295.22
2019-04-23,1143.91
2019-04-24,1382.11
2019-04-25,1702.62
2019-04-26,1489.93
2019-04-27,2076.62
2019-04-28,1942.35
2019-04-29,2013.95
2019-04-30,2061.74
2019-05-01,1836.57
2019-05-02,1460.85
2019-05-03,1532.98
2019-05-04,1050.64
2019-05-05,1137.94
2019-05-06,1064.61
2019-05-07,1071.65
2019-05-08,1112.67
2019-05-09,1121.79
2019-05-10,1259.71
2019-05-11,1290.06
2019-05-12,1264.19
2019-05-13,1365.83
2019-05-14,1366.12
2019-05-15,1354.29
2019-05-16,1333.55
2019-05-17,1664.08
2019-05-18,1624.65
2019-05-19,1651.55
2019-05-20,1772.91
2019-05-21,2169.09
2019-05-22,2122.35
2019-05-23,2146.64
2019-05-24,3246.43
2019-05-25,3991.75
2019-05-26,4250.17
2019-05-27,4446.79
2019-05-28,4115.97
2019-05-29,4036.85
2019-05-30,3773.3
2019-05-31,2108.64
2019-06-01,1930.52
2019-06-02,1726.05
2019-06-03,1936.93
2019-06-04,1678.49
2019-06-05,1611.4
2019-06-06,1646.07
2019-06-07,1598.98
2019-06-08,1618.65
2019-06-09,1604.11
2019-06-10,1479.35
2019-06-11,1529.93
2019-06-12,1547.32
2019-06-13,1489.05
2019-06-14,1342.34
2019-06-15,1470.05
2019-06-16,1798.24
2019-06-17,1632.59
2019-06-18,1785.1
2019-06-19,1988.88
2019-06-20,2176.73
2019-06-21,2176.14
2019-06-22,2315.51
2019-06-23,2175.68
2019-06-24,2559.73
2019-06-25,2388.31
2019-06-26,2318.27
2019-06-27,1963.5
2019-06-28,1923
2019-06-29,1776.79
2019-06-30,1775.91
2019-07-01,1271.83
2019-07-02,1344.96
2019-07-03,1126.67
2019-07-04,1311.98
2019-07-05,1273.13
2019-07-06,997.07
2019-07-07,1079.29
2019-07-08,1144.34
2019-07-09,1175.91
2019-07-10,1564.34
2019-07-11,1539.25
2019-07-12,1562.57
2019-07-13,1578.46
2019-07-14,1610.52
2019-07-15,1690.19
2019-07-16,1944.98
2019-07-17,1607.55
2019-07-18,1604.65
2019-07-19,1593.88
2019-07-20,1558.92
2019-07-21,1492.32
2019-07-22,1415.49
2019-07-23,1053.94
2019-07-24,927.8
2019-07-25,908.34
2019-07-26,976.02
2019-07-27,1082.19
2019-07-28,1179.56
2019-07-29,1258.71
2019-07-30,1210.34
2019-07-31,1170.55
2019-08-01,1814
2019-08-02,1795.57
2019-08-03,1805.26
2019-08-04,1795.08
2019-08-05,1751.41
2019-08-06,1761.42
2019-08-07,1911.65
2019-08-08,1191
2019-08-09,1339.03
2019-08-10,1278.14
2019-08-11,1271.13
2019-08-12,3234.27
2019-08-13,3501.92
2019-08-14,3529.59
2019-08-15,3076.12
2019-08-16,2663.14
2019-08-17,2596.97
2019-08-18,2602.14
2019-08-19,908.41
2019-08-20,816.83
2019-08-21,915.97
2019-08-22,1532.35
2019-08-23,1825.78
2019-08-24,1856.75
2019-08-25,1845.83
2019-08-26,1669.09
2019-08-27,1787.66
2019-08-28,2031.72
2019-08-29,1598.32
2019-08-30,1567.21
2019-08-31,1558.07
2019-09-01,1483.71
2019-09-02,1580.9
2019-09-03,1502.27
2019-09-04,1907.01
2019-09-05,2047.66
2019-09-06,2001.76
2019-09-07,1949.09
2019-09-08,2463.4
2019-09-09,2522.8
2019-09-10,2870.59
2019-09-11,1556.88
2019-09-12,1614.99
2019-09-13,1623.34
2019-09-14,1404.05
2019-09-15,976.11
2019-09-16,795.38
2019-09-17,723.32
2019-09-18,716.37
2019-09-19,729.32
2019-09-20,742.1
2019-09-21,756.88
2019-09-22,720.5
2019-09-23,687.96
2019-09-24,756.66
2019-09-25,744.79
2019-09-26,761.78
2019-09-27,691.31
2019-09-28,609.91
2019-09-29,814.97
2019-09-30,723.46
2019-10-01,691.86
2019-10-02,724.67
2019-10-03,686.29
2019-10-04,755.48
2019-10-05,782.3
2019-10-06,676.98
2019-10-07,806.05
2019-10-08,858.18
2019-10-09,856.78
2019-10-10,932.32
2019-10-11,834.55
2019-10-12,809.09
2019-10-13,796.17
2019-10-14,716.83
2019-10-15,761.09
2019-10-16,902.65
2019-10-17,940.93
2019-10-18,1066.31
2019-10-19,1205.01
2019-10-20,1070.54
2019-10-21,1006.77
2019-10-22,799.3
2019-10-23,645.57
2019-10-24,568.14
2019-10-25,528.23
2019-10-26,487.53
2019-10-27,744.78
2019-10-28,760.84
2019-10-29,860.32
2019-10-30,886.37
2019-10-31,880.57
2019-11-01,921.62
2019-11-02,902.87
2019-11-03,740.38
2019-11-04,760.13
2019-11-05,714.72
2019-11-06,714.53
2019-11-07,726.77
2019-11-08,718.07
2019-11-09,708.01
2019-11-10,735.28
2019-11-11,1454.99
2019-11-12,1286.32
2019-11-13,1245.44
2019-11-14,1304.88
2019-11-15,1255.97
2019-11-16,1262.92
2019-11-17,1497.85
2019-11-18,979.87
2019-11-19,282.8
2019-11-20,162.37
2019-11-21,138.4
2019-11-22,150.26
2019-11-23,152.37
2019-11-24,154.55
2019-11-25,156.18
2019-11-26,212.91
2019-11-27,506.22
2019-11-28,788.05
2019-11-29,878.47
2019-11-30,975.27
2019-12-01,1189.33
2019-12-02,1364.58
2019-12-03,1364.58
2019-12-04,995.4
2019-12-05,858.7
2019-12-06,1135.51
2019-12-07,967.3
2019-12-08,659.34
2019-12-09,735.03
2019-12-10,710.49
2019-12-11,730
2019-12-12,839.95
2019-12-13,712.18
2019-12-14,739.36
2019-12-15,827.39
2019-12-16,815.66
2019-12-17,861.81
2019-12-18,925.03
2019-12-19,1006.62
2019-12-20,1263.09
2019-12-21,1412.51
2019-12-22,1411.78
2019-12-23,1249
2019-12-24,1215.47
2019-12-25,1212.25
2019-12-26,893.39
2019-12-27,610.91
2019-12-28,534.85
2019-12-29,482.19
2019-12-30,387.32
2019-12-31,667.3
2020-01-01,686.02
2020-01-02,693.01
2020-01-03,537
2020-01-04,605.35
2020-01-05,555.09
2020-01-06,647.68
2020-01-07,501.16
2020-01-08,462.27
2020-01-09,429.55
2020-01-10,531.9
2020-01-11,555.79
2020-01-12,668.52
2020-01-13,685.27
2020-01-14,702.75
2020-01-15,756.69
2020-01-16,793.4
2020-01-17,963.27
2020-01-18,852.95
2020-01-19,871.75
2020-01-20,849.16
2020-01-21,927.99
2020-01-22,785.85
2020-01-23,767.5
2020-01-24,716.84
2020-01-25,684.59
2020-01-26,673.17
2020-01-27,633.06
2020-01-28,561.43
2020-01-29,662.3
2020-01-30,683.97
2020-01-31,646.8
2020-02-01,431.18
2020-02-02,346.79
2020-02-03,360.47
2020-02-04,405.64
2020-02-05,369.35
2020-02-06,357
2020-02-07,424.84
2020-02-08,582.43
2020-02-09,1036.09
2020-02-10,971.32
2020-02-11,455.85
2020-02-12,374.15
2020-02-13,268.28
2020-02-14,225.01
2020-02-15,181.43
2020-02-16,132.61
2020-02-17,113.75
2020-02-18,81
2020-02-19,61.09
2020-02-20,51
2020-02-21,53.96
2020-02-22,52.87
2020-02-23,48
2020-02-24,42.76
2020-02-25,37.27
2020-02-26,35.21
2020-02-27,33.9
2020-02-28,20.81
2020-02-29,16.84
2020-03-01,14.75
2020-03-02,12.52
2020-03-03,12.24
2020-03-04,12.6
2020-03-05,12.04
2020-03-06,13.59
2020-03-07,16.37
2020-03-08,20.97
2020-03-09,23.69
2020-03-10,27.68
2020-03-11,28.28
2020-03-12,31.53
2020-03-13,38.41
2020-03-14,49.59
2020-03-15,36.31
2020-03-16,33.32
2020-03-17,27.49
2020-03-18,33.61
2020-03-19,78.64
2020-03-20,72
2020-03-21,65.3
2020-03-22,69.46
2020-03-23,64.24
2020-03-24,64.45
2020-03-25,62.31
2020-03-26,22.37
2020-03-27,22.91
2020-03-28,27.14
2020-03-29,25.99
2020-03-30,23.88
2020-03-31,23.01
2020-04-01,20.64
2020-04-02,19.78
2020-04-03,18.23
2020-04-04,14.8
