Date,Average USD (7-day)
2018-05-17,70.25
2018-05-18,70.25
2018-05-19,60.86
2018-05-20,60.86
2018-05-21,60.86
2018-05-22,60.86
2018-05-23,60.86
2018-05-24,51.47
2018-05-25,58.12
2018-05-26,58.85
2018-05-27,56.13
2018-05-28,45.1
2018-05-29,41.76
2018-05-30,39.82
2018-05-31,39.32
2018-06-01,36.71
2018-06-02,34.75
2018-06-03,34.2
2018-06-04,32.13
2018-06-05,33.17
2018-06-06,35.54
2018-06-07,36.19
2018-06-08,71.79
2018-06-09,71.79
2018-06-10,72
2018-06-11,71.8
2018-06-12,68.71
2018-06-13,68.6
2018-06-14,68.71
2018-06-15,47.34
2018-06-16,47.34
2018-06-17,47.45
2018-06-18,36.31
2018-06-19,34.22
2018-06-20,36.59
2018-06-21,37.57
2018-06-22,74.12
2018-06-23,74.12
2018-06-24,98.93
2018-06-25,98.93
2018-06-26,98.93
2018-06-27,98.93
2018-06-28,93.25
2018-06-29,87.58
2018-06-30,87.58
2018-07-01,87.58
2018-07-02,87.58
2018-07-03,87.58
2018-07-04,46.05
2018-07-05,25.28
2018-07-06,25.28
2018-07-07,25.28
2018-07-08,25.28
2018-07-09,25.28
2018-07-10,24.68
2018-07-11,23.49
2018-07-12,23.49
2018-07-13,23.49
2018-07-14,23.49
2018-07-15,23.49
2018-07-16,23.49
2018-07-17,90.86
2018-07-18,70.29
2018-07-19,70.29
2018-07-20,76.3
2018-07-21,76.3
2018-07-22,76.3
2018-07-23,68.61
2018-07-24,61.19
2018-07-25,79.62
2018-07-26,85.51
2018-07-27,78.47
2018-07-28,78.47
2018-07-29,78.47
2018-07-30,85.06
2018-07-31,70.34
2018-08-01,65.39
2018-08-02,45.05
2018-08-03,44.05
2018-08-04,44.05
2018-08-05,44.05
2018-08-06,67.21
2018-08-07,85.67
2018-08-08,85.67
2018-08-09,91.17
2018-08-10,94.21
2018-08-11,94.21
2018-08-12,129.58
2018-08-13,135.56
2018-08-14,262.8
2018-08-15,105.12
2018-08-16,101.46
2018-08-17,99.7
2018-08-18,94.18
2018-08-19,79.71
2018-08-20,81.99
2018-08-21,59.02
2018-08-22,40.88
2018-08-23,43.01
2018-08-24,45.88
2018-08-25,52.34
2018-08-26,49.16
2018-08-27,45.07
2018-08-28,44.1
2018-08-29,41.02
2018-08-30,41.02
2018-08-31,41.02
2018-09-01,42.69
2018-09-02,53.58
2018-09-03,57.14
2018-09-04,58.88
2018-09-05,58.88
2018-09-06,58.88
2018-09-07,56.32
2018-09-08,87.04
2018-09-09,22.94
2018-09-10,22.94
2018-09-11,23.24
2018-09-12,23.24
2018-09-13,23.24
2018-09-14,23.52
2018-09-15,23.52
2018-09-16,24.52
2018-09-17,88.13
2018-09-18,201.61
2018-09-19,201.61
2018-09-20,143.47
2018-09-21,148.23
2018-09-22,106.52
2018-09-23,112.61
2018-09-24,57
2018-09-25,57
2018-09-26,52.28
2018-09-27,66.62
2018-09-28,54.71
2018-09-29,69.81
2018-09-30,69.81
2018-10-01,69.81
2018-10-02,183.99
2018-10-03,194.32
2018-10-04,187.4
2018-10-05,178.34
2018-10-06,175.27
2018-10-07,175.27
2018-10-08,159.55
2018-10-09,64.16
2018-10-10,67.53
2018-10-11,42.83
2018-10-12,40.82
2018-10-13,37.06
2018-10-14,37.06
2018-10-15,38.01
2018-10-16,38.01
2018-10-17,38.01
2018-10-18,34.35
2018-10-19,29.19
2018-10-20,54.56
2018-10-21,54.56
2018-10-22,54.56
2018-10-23,47.45
2018-10-24,50.66
2018-10-25,53.14
2018-10-26,53.11
2018-10-27,46.5
2018-10-28,41.3
2018-10-29,40.71
2018-10-30,39.99
2018-10-31,34.9
2018-11-01,33.95
2018-11-02,28.77
2018-11-03,28.67
2018-11-04,29.6
2018-11-05,28.04
2018-11-06,35.68
2018-11-07,35.13
2018-11-08,35.88
2018-11-09,35.88
2018-11-10,40.41
2018-11-11,40.41
2018-11-12,38.64
2018-11-13,32.05
2018-11-14,38.97
2018-11-15,41.6
2018-11-16,41.6
2018-11-17,38.03
2018-11-18,51.87
2018-11-19,62.62
2018-11-20,63.15
2018-11-21,62.95
2018-11-22,62.15
2018-11-23,62.15
2018-11-24,61.85
2018-11-25,58.09
2018-11-26,45.21
2018-11-27,30.87
2018-11-28,29.27
2018-11-29,27.78
2018-11-30,125.58
2018-12-01,129.38
